temperature-maximale,temperature-minimale,vitesse-du-vent,temperature-du-vent,precipitations,humidite,visibilite,couverture-nuageuse,indice-de-chaleur,point-de-rosee,pression,heure-du-lever-du-soleil,heure-du-coucher-du-soleil,duree-du-jour,Date
27°,23°,13km/h,23°,4mm,91%,9.875km,64%,30,23°C,1016hPa,06:16:00,18:40:00,12:24:0,2021/07/01
27°,23°,15km/h,23°,3mm,92%,10km,63%,30,22°C,1016hPa,06:16:00,18:40:00,12:24:0,2021/07/02
27°,23°,14km/h,23°,8mm,91%,10km,66%,30,24°C,1016hPa,06:16:00,18:41:00,12:25:0,2021/07/03
27°,23°,13km/h,23°,10mm,92%,8.875km,73%,30,23°C,1017hPa,06:17:00,18:41:00,12:24:0,2021/07/04
27°,23°,15km/h,23°,8mm,94%,9.125km,61%,31,24°C,1017hPa,06:17:00,18:41:00,12:24:0,2021/07/05
24°,23°,10km/h,23°,26mm,94%,7km,92%,27,23°C,1015hPa,06:17:00,18:41:00,12:24:0,2021/07/06
26°,22°,16km/h,22°,31mm,96%,8.125km,89%,29,24°C,1015hPa,06:17:00,18:41:00,12:24:0,2021/07/07
27°,23°,19km/h,23°,13mm,92%,8.875km,81%,30,23°C,1016hPa,06:17:00,18:41:00,12:24:0,2021/07/08
28°,24°,17km/h,24°,4mm,88%,9.75km,68%,30,22°C,1017hPa,06:18:00,18:41:00,12:23:0,2021/07/09
28°,24°,15km/h,24°,2mm,89%,9.875km,62%,30,22°C,1016hPa,06:18:00,18:41:00,12:23:0,2021/07/10
27°,23°,11km/h,23°,1mm,88%,9.75km,41%,29,21°C,1016hPa,06:18:00,18:41:00,12:23:0,2021/07/11
27°,22°,14km/h,22°,1mm,90%,9.875km,44%,30,22°C,1018hPa,06:18:00,18:42:00,12:24:0,2021/07/12
26°,24°,14km/h,24°,1mm,83%,10km,78%,29,22°C,1018hPa,06:18:00,18:42:00,12:24:0,2021/07/13
27°,23°,18km/h,23°,3mm,89%,9.75km,72%,30,22°C,1016hPa,06:19:00,18:42:00,12:23:0,2021/07/14
28°,22°,18km/h,22°,2mm,92%,10km,62%,31,22°C,1016hPa,06:19:00,18:42:00,12:23:0,2021/07/15
26°,24°,15km/h,24°,9mm,89%,9.625km,86%,29,23°C,1016hPa,06:19:00,18:42:00,12:23:0,2021/07/16
26°,24°,16km/h,24°,2mm,86%,10km,74%,28,22°C,1016hPa,06:19:00,18:42:00,12:23:0,2021/07/17
26°,23°,12km/h,23°,2mm,87%,10km,83%,28,22°C,1017hPa,06:19:00,18:42:00,12:23:0,2021/07/18
26°,23°,16km/h,23°,1mm,84%,10km,74%,28,21°C,1017hPa,06:19:00,18:42:00,12:23:0,2021/07/19
27°,24°,14km/h,24°,1mm,80%,10km,50%,29,22°C,1017hPa,06:20:00,18:42:00,12:22:0,2021/07/20
28°,23°,13km/h,23°,0mm,85%,10km,36%,30,21°C,1018hPa,06:20:00,18:42:00,12:22:0,2021/07/21
28°,22°,17km/h,22°,1mm,88%,10km,58%,31,22°C,1019hPa,06:20:00,18:42:00,12:22:0,2021/07/22
26°,23°,18km/h,23°,2mm,91%,10km,86%,28,22°C,1017hPa,06:20:00,18:41:00,12:21:0,2021/07/23
27°,23°,16km/h,23°,1mm,83%,10km,62%,28,20°C,1016hPa,06:20:00,18:41:00,12:21:0,2021/07/24
27°,22°,15km/h,22°,0mm,87%,10km,25%,29,20°C,1017hPa,06:20:00,18:41:00,12:21:0,2021/07/25
26°,22°,14km/h,22°,0mm,83%,10km,58%,28,20°C,1017hPa,06:20:00,18:41:00,12:21:0,2021/07/26
28°,23°,13km/h,23°,1mm,82%,9.875km,57%,29,21°C,1017hPa,06:20:00,18:41:00,12:21:0,2021/07/27
27°,22°,13km/h,22°,0mm,86%,10km,20%,29,21°C,1016hPa,06:20:00,18:41:00,12:21:0,2021/07/28
27°,23°,13km/h,23°,2mm,91%,9.75km,56%,30,22°C,1016hPa,06:20:00,18:41:00,12:21:0,2021/07/29
27°,23°,15km/h,23°,2mm,91%,9.875km,67%,30,22°C,1016hPa,06:20:00,18:41:00,12:21:0,2021/07/30
27°,22°,17km/h,22°,5mm,93%,9.875km,79%,30,22°C,1017hPa,06:21:00,18:41:00,12:20:0,2021/07/31
28°,20°,3km/h,20°,12mm,100%,6.625km,86%,32,23°C,1017hPa,06:13:00,18:48:00,12:35:0,2021/07/01
29°,20°,6km/h,20°,5mm,99%,9km,72%,31,22°C,1017hPa,06:13:00,18:48:00,12:35:0,2021/07/02
30°,21°,5km/h,21°,4mm,97%,9.875km,82%,32,21°C,1017hPa,06:14:00,18:48:00,12:34:0,2021/07/03
27°,21°,5km/h,21°,16mm,99%,6.375km,80%,29,23°C,1017hPa,06:14:00,18:48:00,12:34:0,2021/07/04
30°,20°,5km/h,20°,5mm,99%,7.375km,74%,32,22°C,1018hPa,06:14:00,18:48:00,12:34:0,2021/07/05
27°,21°,4km/h,21°,15mm,99%,9.25km,81%,30,22°C,1016hPa,06:14:00,18:48:00,12:34:0,2021/07/06
30°,21°,6km/h,21°,6mm,99%,8.375km,83%,32,22°C,1015hPa,06:14:00,18:49:00,12:35:0,2021/07/07
31°,21°,10km/h,21°,1mm,99%,6.125km,72%,32,21°C,1016hPa,06:15:00,18:49:00,12:34:0,2021/07/08
28°,21°,9km/h,21°,4mm,99%,8.75km,84%,30,21°C,1017hPa,06:15:00,18:49:00,12:34:0,2021/07/09
26°,20°,7km/h,20°,11mm,99%,8km,89%,29,23°C,1016hPa,06:15:00,18:49:00,12:34:0,2021/07/10
26°,21°,6km/h,21°,25mm,100%,8.125km,86%,28,23°C,1017hPa,06:15:00,18:49:00,12:34:0,2021/07/11
27°,20°,5km/h,20°,9mm,100%,7.125km,86%,29,22°C,1018hPa,06:16:00,18:49:00,12:33:0,2021/07/12
27°,20°,6km/h,20°,5mm,99%,7.625km,82%,29,21°C,1018hPa,06:16:00,18:49:00,12:33:0,2021/07/13
26°,20°,7km/h,20°,2mm,98%,7.25km,88%,28,21°C,1017hPa,06:16:00,18:49:00,12:33:0,2021/07/14
28°,21°,5km/h,21°,10mm,97%,6.875km,84%,30,23°C,1016hPa,06:16:00,18:49:00,12:33:0,2021/07/15
27°,21°,4km/h,21°,19mm,99%,7.625km,88%,30,24°C,1016hPa,06:16:00,18:49:00,12:33:0,2021/07/16
28°,20°,8km/h,20°,3mm,99%,8.75km,90%,30,22°C,1017hPa,06:17:00,18:49:00,12:32:0,2021/07/17
28°,20°,6km/h,20°,4mm,99%,7.5km,90%,30,23°C,1017hPa,06:17:00,18:49:00,12:32:0,2021/07/18
27°,21°,6km/h,21°,1mm,98%,6.75km,94%,30,23°C,1016hPa,06:17:00,18:49:00,12:32:0,2021/07/19
27°,20°,7km/h,20°,2mm,99%,6.25km,93%,28,21°C,1017hPa,06:17:00,18:49:00,12:32:0,2021/07/20
26°,20°,5km/h,20°,1mm,99%,7.375km,93%,28,21°C,1019hPa,06:17:00,18:49:00,12:32:0,2021/07/21
27°,20°,8km/h,20°,2mm,98%,7.625km,85%,29,21°C,1019hPa,06:18:00,18:48:00,12:30:0,2021/07/22
28°,20°,6km/h,20°,4mm,98%,7.625km,78%,30,22°C,1018hPa,06:18:00,18:48:00,12:30:0,2021/07/23
27°,20°,7km/h,20°,4mm,100%,7.75km,91%,29,21°C,1017hPa,06:18:00,18:48:00,12:30:0,2021/07/24
27°,19°,5km/h,19°,3mm,99%,10km,84%,28,21°C,1017hPa,06:18:00,18:48:00,12:30:0,2021/07/25
26°,20°,6km/h,20°,1mm,96%,7km,88%,28,21°C,1017hPa,06:18:00,18:48:00,12:30:0,2021/07/26
27°,20°,8km/h,20°,2mm,97%,8km,85%,28,21°C,1017hPa,06:18:00,18:48:00,12:30:0,2021/07/27
23°,20°,6km/h,20°,2mm,99%,8km,89%,25,20°C,1017hPa,06:18:00,18:48:00,12:30:0,2021/07/28
28°,19°,7km/h,19°,2mm,98%,6.375km,72%,29,21°C,1017hPa,06:19:00,18:47:00,12:28:0,2021/07/29
27°,19°,6km/h,19°,6mm,98%,7.125km,82%,29,22°C,1017hPa,06:19:00,18:47:00,12:28:0,2021/07/30
25°,20°,6km/h,20°,17mm,99%,8.875km,85%,27,23°C,1017hPa,06:19:00,18:47:00,12:28:0,2021/07/31
26°,24°,12km/h,24°,24mm,88%,8.375km,74%,29,23°C,1016hPa,06:22:00,18:44:00,12:22:0,2021/07/01
27°,25°,15km/h,25°,7mm,85%,9.625km,73%,29,23°C,1016hPa,06:22:00,18:45:00,12:23:0,2021/07/02
27°,24°,17km/h,24°,10mm,87%,9.25km,76%,30,22°C,1016hPa,06:22:00,18:45:00,12:23:0,2021/07/03
27°,25°,17km/h,25°,6mm,83%,10km,72%,30,22°C,1016hPa,06:23:00,18:45:00,12:22:0,2021/07/04
26°,24°,15km/h,24°,18mm,88%,9.25km,80%,29,23°C,1017hPa,06:23:00,18:45:00,12:22:0,2021/07/05
25°,24°,13km/h,24°,27mm,93%,8km,91%,28,23°C,1015hPa,06:23:00,18:45:00,12:22:0,2021/07/06
24°,19°,15km/h,24°,48mm,94%,5.5km,88%,27,23°C,1015hPa,06:23:00,18:45:00,12:22:0,2021/07/07
26°,24°,20km/h,24°,7mm,85%,10km,89%,29,23°C,1016hPa,06:23:00,18:45:00,12:22:0,2021/07/08
27°,24°,18km/h,24°,1mm,82%,9.875km,61%,29,21°C,1017hPa,06:24:00,18:46:00,12:22:0,2021/07/09
27°,24°,16km/h,24°,2mm,83%,9.875km,72%,30,22°C,1016hPa,06:24:00,18:46:00,12:22:0,2021/07/10
27°,24°,12km/h,24°,1mm,77%,9.875km,75%,28,21°C,1016hPa,06:24:00,18:46:00,12:22:0,2021/07/11
28°,24°,15km/h,24°,1mm,79%,9.875km,48%,30,21°C,1018hPa,06:24:00,18:46:00,12:22:0,2021/07/12
27°,24°,14km/h,24°,2mm,82%,10km,69%,28,21°C,1018hPa,06:24:00,18:46:00,12:22:0,2021/07/13
26°,24°,15km/h,24°,1mm,80%,10km,71%,28,21°C,1017hPa,06:24:00,18:46:00,12:22:0,2021/07/14
26°,24°,18km/h,24°,7mm,87%,9.625km,88%,28,22°C,1016hPa,06:25:00,18:46:00,12:21:0,2021/07/15
26°,24°,19km/h,24°,6mm,84%,10km,94%,29,22°C,1016hPa,06:25:00,18:46:00,12:21:0,2021/07/16
27°,24°,17km/h,24°,1mm,80%,10km,80%,29,21°C,1016hPa,06:25:00,18:46:00,12:21:0,2021/07/17
26°,24°,14km/h,24°,1mm,80%,10km,90%,28,21°C,1017hPa,06:25:00,18:46:00,12:21:0,2021/07/18
26°,24°,15km/h,24°,1mm,83%,10km,80%,28,21°C,1016hPa,06:25:00,18:46:00,12:21:0,2021/07/19
26°,24°,13km/h,24°,1mm,74%,10km,69%,28,20°C,1017hPa,06:25:00,18:46:00,12:21:0,2021/07/20
27°,24°,14km/h,24°,1mm,74%,10km,39%,29,20°C,1018hPa,06:25:00,18:46:00,12:21:0,2021/07/21
27°,24°,17km/h,24°,2mm,78%,9.875km,44%,29,21°C,1019hPa,06:26:00,18:46:00,12:20:0,2021/07/22
27°,24°,19km/h,24°,2mm,85%,10km,79%,29,22°C,1017hPa,06:26:00,18:46:00,12:20:0,2021/07/23
26°,24°,15km/h,24°,1mm,75%,10km,69%,27,20°C,1017hPa,06:26:00,18:46:00,12:20:0,2021/07/24
27°,23°,14km/h,23°,0mm,78%,10km,46%,28,19°C,1017hPa,06:26:00,18:46:00,12:20:0,2021/07/25
26°,24°,13km/h,24°,0mm,70%,10km,62%,27,19°C,1017hPa,06:26:00,18:46:00,12:20:0,2021/07/26
27°,24°,15km/h,24°,1mm,74%,10km,53%,29,20°C,1017hPa,06:26:00,18:45:00,12:19:0,2021/07/27
27°,24°,11km/h,24°,1mm,77%,10km,58%,29,21°C,1016hPa,06:26:00,18:45:00,12:19:0,2021/07/28
27°,24°,14km/h,24°,1mm,80%,9.875km,38%,29,22°C,1016hPa,06:26:00,18:45:00,12:19:0,2021/07/29
26°,24°,17km/h,24°,6mm,87%,9.625km,75%,29,22°C,1016hPa,06:26:00,18:45:00,12:19:0,2021/07/30
27°,24°,19km/h,24°,5mm,87%,10km,71%,29,22°C,1017hPa,06:26:00,18:45:00,12:19:0,2021/07/31
30°,21°,7km/h,21°,9mm,99%,9.5km,81%,33,23°C,1016hPa,06:10:00,18:40:00,12:30:0,2021/07/01
29°,21°,9km/h,21°,3mm,99%,7.375km,82%,32,23°C,1016hPa,06:10:00,18:40:00,12:30:0,2021/07/02
28°,21°,9km/h,21°,20mm,98%,5.5km,89%,31,24°C,1016hPa,06:10:00,18:41:00,12:31:0,2021/07/03
27°,22°,8km/h,22°,15mm,98%,9.125km,88%,30,23°C,1017hPa,06:10:00,18:41:00,12:31:0,2021/07/04
29°,21°,9km/h,21°,0mm,99%,6.25km,83%,31,22°C,1017hPa,06:10:00,18:41:00,12:31:0,2021/07/05
26°,22°,8km/h,22°,8mm,98%,5.75km,91%,29,23°C,1016hPa,06:11:00,18:41:00,12:30:0,2021/07/06
30°,22°,9km/h,22°,1mm,95%,6.75km,86%,32,22°C,1015hPa,06:11:00,18:41:00,12:30:0,2021/07/07
29°,22°,11km/h,22°,1mm,91%,7.5km,85%,32,23°C,1016hPa,06:11:00,18:41:00,12:30:0,2021/07/08
28°,21°,12km/h,21°,1mm,96%,7.75km,87%,31,21°C,1017hPa,06:11:00,18:41:00,12:30:0,2021/07/09
29°,20°,11km/h,20°,2mm,99%,6.5km,78%,31,22°C,1016hPa,06:12:00,18:41:00,12:29:0,2021/07/10
29°,20°,9km/h,20°,1mm,96%,9km,59%,31,21°C,1016hPa,06:12:00,18:41:00,12:29:0,2021/07/11
30°,19°,6km/h,19°,0mm,97%,6.5km,63%,32,21°C,1018hPa,06:12:00,18:41:00,12:29:0,2021/07/12
28°,20°,9km/h,20°,1mm,99%,6.5km,80%,30,21°C,1017hPa,06:12:00,18:41:00,12:29:0,2021/07/13
28°,20°,12km/h,20°,1mm,97%,7.75km,78%,30,21°C,1016hPa,06:12:00,18:41:00,12:29:0,2021/07/14
31°,22°,9km/h,22°,3mm,89%,9.875km,70%,33,22°C,1015hPa,06:13:00,18:41:00,12:28:0,2021/07/15
27°,21°,9km/h,21°,10mm,97%,7.375km,86%,30,23°C,1016hPa,06:13:00,18:41:00,12:28:0,2021/07/16
28°,21°,9km/h,21°,1mm,97%,7.5km,86%,30,21°C,1016hPa,06:13:00,18:41:00,12:28:0,2021/07/17
28°,21°,9km/h,21°,1mm,98%,6.75km,79%,30,22°C,1017hPa,06:13:00,18:41:00,12:28:0,2021/07/18
28°,21°,10km/h,21°,1mm,92%,8.75km,78%,29,21°C,1017hPa,06:13:00,18:41:00,12:28:0,2021/07/19
27°,19°,11km/h,19°,1mm,97%,8km,82%,29,22°C,1017hPa,06:13:00,18:41:00,12:28:0,2021/07/20
29°,19°,9km/h,19°,1mm,98%,6.5km,70%,31,22°C,1019hPa,06:14:00,18:41:00,12:27:0,2021/07/21
30°,20°,10km/h,20°,1mm,91%,9.875km,56%,32,21°C,1019hPa,06:14:00,18:41:00,12:27:0,2021/07/22
27°,20°,12km/h,20°,1mm,96%,8.75km,77%,29,21°C,1017hPa,06:14:00,18:41:00,12:27:0,2021/07/23
29°,21°,9km/h,21°,1mm,90%,10km,75%,30,21°C,1016hPa,06:14:00,18:41:00,12:27:0,2021/07/24
28°,19°,9km/h,19°,1mm,95%,9km,57%,30,21°C,1017hPa,06:14:00,18:41:00,12:27:0,2021/07/25
28°,19°,9km/h,19°,0mm,95%,8km,57%,29,20°C,1017hPa,06:14:00,18:41:00,12:27:0,2021/07/26
29°,22°,10km/h,22°,0mm,86%,10km,65%,30,20°C,1017hPa,06:14:00,18:41:00,12:27:0,2021/07/27
28°,19°,9km/h,19°,1mm,98%,6.75km,67%,29,20°C,1016hPa,06:15:00,18:40:00,12:25:0,2021/07/28
28°,20°,7km/h,20°,2mm,95%,7.75km,61%,30,21°C,1017hPa,06:15:00,18:40:00,12:25:0,2021/07/29
30°,20°,7km/h,20°,3mm,98%,7.75km,78%,32,21°C,1017hPa,06:15:00,18:40:00,12:25:0,2021/07/30
28°,21°,11km/h,21°,10mm,97%,7km,84%,30,23°C,1017hPa,06:15:00,18:40:00,12:25:0,2021/07/31
30°,21°,6km/h,21°,3mm,100%,7.25km,89%,33,24°C,1016hPa,06:03:00,18:33:00,12:30:0,2021/07/01
28°,21°,9km/h,21°,3mm,100%,6km,90%,31,23°C,1016hPa,06:03:00,18:33:00,12:30:0,2021/07/02
28°,21°,7km/h,21°,13mm,100%,3km,91%,31,24°C,1017hPa,06:03:00,18:33:00,12:30:0,2021/07/03
27°,21°,6km/h,21°,6mm,99%,4.875km,92%,29,23°C,1017hPa,06:03:00,18:33:00,12:30:0,2021/07/04
28°,21°,9km/h,21°,3mm,100%,6.25km,85%,30,23°C,1017hPa,06:04:00,18:33:00,12:29:0,2021/07/05
26°,21°,5km/h,21°,19mm,99%,4.75km,97%,29,24°C,1016hPa,06:04:00,18:34:00,12:30:0,2021/07/06
28°,22°,8km/h,22°,1mm,94%,7.75km,87%,31,22°C,1015hPa,06:04:00,18:34:00,12:30:0,2021/07/07
29°,22°,11km/h,22°,1mm,98%,6.25km,86%,32,22°C,1015hPa,06:04:00,18:34:00,12:30:0,2021/07/08
28°,22°,11km/h,22°,1mm,96%,7.875km,80%,30,21°C,1017hPa,06:04:00,18:34:00,12:30:0,2021/07/09
29°,20°,9km/h,20°,1mm,100%,7.5km,81%,31,21°C,1016hPa,06:05:00,18:34:00,12:29:0,2021/07/10
28°,19°,7km/h,19°,0mm,100%,6.25km,89%,29,20°C,1017hPa,06:05:00,18:34:00,12:29:0,2021/07/11
29°,19°,6km/h,19°,1mm,99%,6.25km,87%,31,21°C,1018hPa,06:05:00,18:34:00,12:29:0,2021/07/12
30°,19°,8km/h,19°,1mm,99%,6.125km,93%,31,22°C,1017hPa,06:05:00,18:34:00,12:29:0,2021/07/13
28°,21°,9km/h,21°,4mm,97%,7.125km,84%,30,22°C,1016hPa,06:05:00,18:34:00,12:29:0,2021/07/14
30°,21°,8km/h,21°,3mm,95%,6.875km,75%,32,23°C,1015hPa,06:06:00,18:34:00,12:28:0,2021/07/15
28°,21°,7km/h,21°,8mm,99%,7.125km,96%,30,24°C,1016hPa,06:06:00,18:34:00,12:28:0,2021/07/16
25°,21°,9km/h,21°,5mm,98%,3.375km,98%,28,23°C,1016hPa,06:06:00,18:34:00,12:28:0,2021/07/17
28°,21°,8km/h,21°,1mm,99%,4km,96%,30,22°C,1017hPa,06:06:00,18:34:00,12:28:0,2021/07/18
28°,20°,9km/h,20°,1mm,100%,5km,92%,30,22°C,1017hPa,06:06:00,18:34:00,12:28:0,2021/07/19
27°,19°,9km/h,19°,1mm,100%,6.5km,67%,29,22°C,1017hPa,06:07:00,18:34:00,12:27:0,2021/07/20
29°,19°,7km/h,19°,0mm,100%,6.5km,56%,31,21°C,1019hPa,06:07:00,18:34:00,12:27:0,2021/07/21
30°,19°,10km/h,19°,1mm,99%,7.25km,65%,32,22°C,1019hPa,06:07:00,18:34:00,12:27:0,2021/07/22
29°,21°,8km/h,21°,5mm,94%,7.375km,79%,31,23°C,1017hPa,06:07:00,18:34:00,12:27:0,2021/07/23
28°,20°,9km/h,20°,1mm,100%,6.25km,83%,30,21°C,1017hPa,06:07:00,18:34:00,12:27:0,2021/07/24
28°,19°,8km/h,19°,0mm,98%,6.5km,64%,29,20°C,1017hPa,06:07:00,18:33:00,12:26:0,2021/07/25
28°,18°,8km/h,18°,,96%,8km,58%,30,20°C,1017hPa,06:07:00,18:33:00,12:26:0,2021/07/26
29°,20°,10km/h,20°,,91%,10km,54%,31,19°C,1016hPa,06:07:00,18:33:00,12:26:0,2021/07/27
31°,19°,8km/h,19°,0mm,99%,7.5km,60%,31,19°C,1016hPa,06:08:00,18:33:00,12:25:0,2021/07/28
29°,19°,7km/h,19°,1mm,99%,7.375km,69%,31,21°C,1016hPa,06:08:00,18:33:00,12:25:0,2021/07/29
30°,19°,8km/h,19°,1mm,99%,7.75km,70%,31,20°C,1016hPa,06:08:00,18:33:00,12:25:0,2021/07/30
27°,20°,9km/h,20°,5mm,100%,4.875km,91%,29,23°C,1017hPa,06:08:00,18:33:00,12:25:0,2021/07/31
27°,23°,14km/h,23°,5mm,91%,9.875km,65%,30,23°C,1016hPa,06:04:00,18:30:00,12:26:0,2021/07/01
28°,23°,16km/h,23°,2mm,92%,10km,62%,30,22°C,1016hPa,06:05:00,18:30:00,12:25:0,2021/07/02
26°,23°,16km/h,23°,13mm,94%,9.25km,79%,29,22°C,1017hPa,06:05:00,18:30:00,12:25:0,2021/07/03
27°,23°,12km/h,23°,9mm,95%,7.25km,78%,30,22°C,1017hPa,06:05:00,18:30:00,12:25:0,2021/07/04
28°,23°,17km/h,23°,1mm,95%,8.875km,56%,30,22°C,1017hPa,06:05:00,18:30:00,12:25:0,2021/07/05
26°,23°,13km/h,23°,29mm,94%,7.625km,74%,29,23°C,1016hPa,06:05:00,18:30:00,12:25:0,2021/07/06
27°,23°,16km/h,23°,10mm,94%,10km,79%,30,23°C,1015hPa,06:06:00,18:30:00,12:24:0,2021/07/07
28°,23°,19km/h,23°,3mm,91%,10km,92%,30,22°C,1016hPa,06:06:00,18:31:00,12:25:0,2021/07/08
28°,24°,19km/h,24°,1mm,87%,10km,67%,30,22°C,1017hPa,06:06:00,18:31:00,12:25:0,2021/07/09
28°,24°,17km/h,24°,2mm,84%,10km,67%,30,22°C,1016hPa,06:06:00,18:31:00,12:25:0,2021/07/10
27°,23°,15km/h,23°,1mm,87%,10km,36%,29,21°C,1016hPa,06:06:00,18:31:00,12:25:0,2021/07/11
28°,23°,14km/h,23°,1mm,90%,9.875km,45%,30,22°C,1018hPa,06:07:00,18:31:00,12:24:0,2021/07/12
27°,23°,19km/h,23°,1mm,88%,9.875km,59%,29,21°C,1017hPa,06:07:00,18:31:00,12:24:0,2021/07/13
26°,23°,18km/h,23°,17mm,90%,8.5km,81%,29,22°C,1016hPa,06:07:00,18:31:00,12:24:0,2021/07/14
27°,23°,18km/h,23°,7mm,93%,10km,68%,30,22°C,1015hPa,06:07:00,18:31:00,12:24:0,2021/07/15
26°,23°,16km/h,23°,15mm,91%,8.875km,80%,29,23°C,1016hPa,06:07:00,18:31:00,12:24:0,2021/07/16
25°,24°,15km/h,24°,8mm,89%,9.625km,84%,27,22°C,1016hPa,06:08:00,18:31:00,12:23:0,2021/07/17
27°,24°,16km/h,24°,1mm,85%,10km,77%,29,21°C,1017hPa,06:08:00,18:31:00,12:23:0,2021/07/18
27°,24°,18km/h,24°,2mm,84%,9.875km,62%,29,21°C,1016hPa,06:08:00,18:31:00,12:23:0,2021/07/19
27°,24°,15km/h,24°,3mm,80%,10km,58%,29,21°C,1017hPa,06:08:00,18:31:00,12:23:0,2021/07/20
28°,23°,15km/h,23°,1mm,86%,10km,23%,30,21°C,1018hPa,06:08:00,18:31:00,12:23:0,2021/07/21
27°,23°,17km/h,23°,2mm,88%,9.875km,62%,29,21°C,1019hPa,06:08:00,18:31:00,12:23:0,2021/07/22
27°,24°,19km/h,24°,1mm,85%,10km,73%,29,21°C,1017hPa,06:08:00,18:31:00,12:23:0,2021/07/23
27°,24°,18km/h,24°,1mm,83%,10km,57%,28,21°C,1016hPa,06:08:00,18:31:00,12:23:0,2021/07/24
27°,22°,15km/h,22°,0mm,84%,10km,23%,29,20°C,1017hPa,06:09:00,18:31:00,12:22:0,2021/07/25
27°,23°,15km/h,23°,0mm,81%,10km,36%,28,20°C,1017hPa,06:09:00,18:31:00,12:22:0,2021/07/26
28°,23°,18km/h,23°,1mm,82%,10km,57%,30,20°C,1016hPa,06:09:00,18:30:00,12:21:0,2021/07/27
28°,23°,17km/h,23°,0mm,85%,10km,14%,30,21°C,1016hPa,06:09:00,18:30:00,12:21:0,2021/07/28
28°,23°,15km/h,23°,0mm,88%,10km,26%,30,22°C,1016hPa,06:09:00,18:30:00,12:21:0,2021/07/29
27°,23°,17km/h,23°,3mm,90%,10km,59%,30,22°C,1016hPa,06:09:00,18:30:00,12:21:0,2021/07/30
28°,23°,18km/h,23°,4mm,90%,10km,67%,30,22°C,1017hPa,06:09:00,18:30:00,12:21:0,2021/07/31
26°,24°,14km/h,24°,2mm,87%,9.625km,62%,28,23°C,1016hPa,06:07:00,18:33:00,12:26:0,2021/07/01
26°,24°,16km/h,24°,4mm,86%,10km,62%,28,23°C,1016hPa,06:07:00,18:33:00,12:26:0,2021/07/02
26°,24°,19km/h,24°,18mm,87%,8.5km,80%,28,23°C,1016hPa,06:07:00,18:33:00,12:26:0,2021/07/03
26°,24°,16km/h,24°,26mm,89%,8.5km,74%,28,22°C,1016hPa,06:08:00,18:33:00,12:25:0,2021/07/04
26°,24°,20km/h,24°,3mm,88%,9.5km,77%,28,23°C,1017hPa,06:08:00,18:34:00,12:26:0,2021/07/05
24°,23°,14km/h,23°,43mm,93%,7.875km,74%,26,22°C,1015hPa,06:08:00,18:34:00,12:26:0,2021/07/06
26°,24°,18km/h,24°,16mm,89%,8.875km,69%,28,23°C,1015hPa,06:08:00,18:34:00,12:26:0,2021/07/07
26°,24°,21km/h,24°,8mm,87%,10km,79%,29,23°C,1016hPa,06:08:00,18:34:00,12:26:0,2021/07/08
26°,24°,20km/h,24°,5mm,84%,9.5km,84%,29,22°C,1017hPa,06:09:00,18:34:00,12:25:0,2021/07/09
26°,25°,20km/h,25°,2mm,80%,9.875km,78%,28,22°C,1016hPa,06:09:00,18:34:00,12:25:0,2021/07/10
26°,24°,16km/h,24°,1mm,83%,10km,22%,28,21°C,1016hPa,06:09:00,18:34:00,12:25:0,2021/07/11
26°,25°,17km/h,25°,1mm,86%,10km,35%,28,22°C,1018hPa,06:09:00,18:34:00,12:25:0,2021/07/12
26°,24°,21km/h,24°,1mm,82%,10km,51%,28,22°C,1017hPa,06:09:00,18:34:00,12:25:0,2021/07/13
26°,24°,22km/h,24°,15mm,86%,9.125km,78%,28,22°C,1016hPa,06:10:00,18:34:00,12:24:0,2021/07/14
26°,24°,22km/h,24°,7mm,85%,9.875km,65%,28,22°C,1015hPa,06:10:00,18:34:00,12:24:0,2021/07/15
25°,24°,19km/h,24°,23mm,85%,8.5km,76%,28,22°C,1015hPa,06:10:00,18:34:00,12:24:0,2021/07/16
25°,17°,23km/h,25°,9mm,84%,10km,83%,27,22°C,1016hPa,06:10:00,18:34:00,12:24:0,2021/07/17
26°,25°,19km/h,25°,2mm,80%,10km,84%,28,22°C,1017hPa,06:10:00,18:34:00,12:24:0,2021/07/18
26°,25°,22km/h,25°,3mm,81%,9.75km,64%,28,21°C,1016hPa,06:10:00,18:34:00,12:24:0,2021/07/19
26°,25°,21km/h,25°,2mm,78%,9.625km,72%,28,21°C,1017hPa,06:11:00,18:34:00,12:23:0,2021/07/20
27°,25°,15km/h,25°,1mm,80%,9.875km,17%,28,21°C,1018hPa,06:11:00,18:34:00,12:23:0,2021/07/21
26°,25°,19km/h,25°,3mm,84%,10km,65%,28,22°C,1019hPa,06:11:00,18:34:00,12:23:0,2021/07/22
26°,24°,21km/h,24°,2mm,83%,10km,70%,28,21°C,1018hPa,06:11:00,18:34:00,12:23:0,2021/07/23
26°,24°,22km/h,24°,1mm,80%,10km,67%,27,21°C,1016hPa,06:11:00,18:34:00,12:23:0,2021/07/24
26°,24°,17km/h,24°,0mm,77%,10km,9%,27,21°C,1017hPa,06:11:00,18:34:00,12:23:0,2021/07/25
25°,24°,17km/h,24°,0mm,76%,10km,35%,27,20°C,1017hPa,06:11:00,18:34:00,12:23:0,2021/07/26
